When you're close
ty Bo zrobimy
Bo zrobimy na
zrobimy na zawsze
na zawsze ty
zawsze ty i
ty i ja
i ja będzie
ja będzie zawsze
będzie zawsze to
zawsze to latające
to latające wysoko
latające wysoko na
wysoko na niebie
na niebie miłości
niebie miłości Nie
miłości Nie sądzisz,
Nie sądzisz, że
sądzisz, że nadszedł
że nadszedł czas
nadszedł czas na
czas na początek
na początek robić
początek robić to,
robić to, co
to, co zawsze
co zawsze chcieliśmy
zawsze chcieliśmy Pewnego
chcieliśmy Pewnego dnia
Pewnego dnia dostaniesz
dnia dostaniesz tak
dostaniesz tak wysoko
tak wysoko Bo
wysoko Bo nawet
Bo nawet niemożliwe
nawet niemożliwe jest
niemożliwe jest łatwe,
jest łatwe, gdy
łatwe, gdy mamy
gdy mamy każdego
mamy każdego inne
każdego inne Pewnego
inne Pewnego dnia
Pewnego dnia dostaniesz
dnia dostaniesz tak
dostaniesz tak wysoki
tak wysoki A
wysoki A na
A na koniec
na koniec dnia
koniec dnia Pamiętam
dnia Pamiętam dni
Pamiętam dni ,
dni , kiedy
, kiedy byliśmy
kiedy byliśmy blisko
byliśmy blisko końca
blisko końca i
końca i zastanawiam
i zastanawiam się,
zastanawiam się, jak
się, jak udało
jak udało nam
udało nam się
nam się przez
się przez całą
przez całą noc
całą noc Na
noc Na koniec
Na koniec dnia
koniec dnia zapamiętać
dnia zapamiętać sposób
zapamiętać sposób zostaliśmy
sposób zostaliśmy tak
zostaliśmy tak blisko
tak blisko końcu
blisko końcu będziemy
końcu będziemy pamiętać,
będziemy pamiętać, to
pamiętać, to ja
to ja i
ja i ty
i ty Bo
ty Bo zrobimy
Bo zrobimy na
zrobimy na zawsze
na zawsze ty
zawsze ty i
ty i ja
i ja będzie
ja będzie zawsze
będzie zawsze zachować
zawsze zachować latające
zachować latające wysoko
latające wysoko na
wysoko na niebie
na niebie miłości
niebie miłości Przyczyna
miłości Przyczyna jesteśmy
Przyczyna jesteśmy gonna
jesteśmy gonna be
gonna be zawsze
be zawsze ty
zawsze ty i
ty i ja
i ja będzie
ja będzie zawsze
będzie zawsze zachować
zawsze zachować latające
zachować latające wysoko
latające wysoko w
wysoko w niebo
w niebo miłości
niebo miłości I
miłości I w
I w końcu
w końcu dzień
końcu dzień Pamiętam
dzień Pamiętam dni
Pamiętam dni ,
dni , kiedy
, kiedy byliśmy
kiedy byliśmy blisko
byliśmy blisko końca
blisko końca i
końca i zastanawiam
i zastanawiam się,
zastanawiam się, jak
się, jak udało
jak udało nam
udało nam się
nam się przez
się przez całą
przez całą noc
całą noc Na
noc Na koniec
Na koniec dnia
koniec dnia zapamiętać
dnia zapamiętać sposób
zapamiętać sposób zostaliśmy
sposób zostaliśmy tak
zostaliśmy tak blisko
tak blisko do
blisko do końca
do końca będziemy
końca będziemy o
będziemy o tym
o tym pamiętać
tym pamiętać to
pamiętać to ja
to ja i
ja i ty
i ty Bo
ty Bo zrobimy
Bo zrobimy na
zrobimy na zawsze
na zawsze ty
zawsze ty i
ty i ja
i ja będzie
ja będzie zawsze
będzie zawsze zachować
zawsze zachować latające
zachować latające wysoko
latające wysoko na
wysoko na niebie
na niebie miłości
niebie miłości Przyczyna
miłości Przyczyna jesteśmy
Przyczyna jesteśmy gonna
jesteśmy gonna be
gonna be zawsze
be zawsze ty
zawsze ty i
ty i ja
i ja będzie
ja będzie zawsze
będzie zawsze zachować
zawsze zachować latające
zachować latające wysoko
latające wysoko na
wysoko na niebie
na niebie miłości
niebie miłości Bo
miłości Bo zrobimy
Bo zrobimy na
zrobimy na zawsze
na zawsze ty
zawsze ty i
ty i ja
i ja będzie
ja będzie zawsze
będzie zawsze zachować
zawsze zachować latające
zachować latające wysoko
latające wysoko na
wysoko na niebie
na niebie miłości
niebie miłości Przyczyna
miłości Przyczyna jesteśmy
Przyczyna jesteśmy gonna
jesteśmy gonna be
gonna be zawsze
be zawsze ty
zawsze ty i
ty i ja
i ja Będziesz
ja Będziesz laways
Będziesz laways zachować
laways zachować latające
zachować latające wysoko
latające wysoko na
wysoko na niebie
na niebie miłości
niebie miłości Przyczyna
miłości Przyczyna jesteśmy
Przyczyna jesteśmy gonna
jesteśmy gonna be
gonna be zawsze
be zawsze ty
zawsze ty i
ty i ja
i ja Ty
ja Ty zawsze
Ty zawsze zachować
zawsze zachować latające
zachować latające wysoko
latające wysoko na
wysoko na niebie
na niebie miłości
