uk http://malsfactory.blogspot.co.uk
day I
I knew
knew God
God could
could not
not speak
speak -
- I
I used
used my
my eyes,
eyes, I
I saw
saw and
and felt
felt the
the suffering
suffering of
of multitudes
multitudes –
– I
I listened
listened to
to their
their cries
cries –
– then
then cautiously
cautiously I
I whispered
whispered “I
“I am
am here�?
here�? and
and from
from my
my helplessness
helplessness I
I knew
knew -
- that
that God
God was
was there.
there. Malcolm
Malcolm Evison
Evison 28
28 July
July 2005
2005 AUBADE
AUBADE (sans
(sans le
le soleil)
soleil) Wrapped
Wrapped futilely
futilely in
in the
the realm
realm of
of beauty
beauty sleep
sleep –
– dawn
dawn rarely
rarely dawns
dawns on
on me.
me. Long
Long after
after the
the appointed
appointed hour,
hour, the
the room
room is
is thunder-black
thunder-black -
- draw
draw back
back the
the curtains.
curtains. The
The sky
sky has
has lost
lost its
its breathing
breathing space
space –
– choked
choked by
by the
the clouds,
clouds, voluptuously
voluptuously hanging
hanging in
in their
their mourning
mourning drapes
drapes –
– symbolic
symbolic of
of a
a troubled
troubled world.
world. I
I sigh,
sigh, and
and seek
seek the
the duvet’s
duvet’s solace
solace –
– for
for me
me the
the day
day has
has not
not yet
yet quite
quite begun.
begun. Malcolm
Malcolm Evison
Evison 26
26 October
October 2006
2006 CONSULTATION
CONSULTATION These
These visits
visits are
are by
by now
now routine
routine -
- on
on entering
entering the
the lion's
lion's den,
den, expect
expect a
a smile
smile and
and beckoning
beckoning wave
wave to
to take
take a
a seat.
seat. Obediently,
Obediently, you
you sit
sit and
and start
start to
to contemplate
contemplate time's
time's passage.
passage. Words
Words fail,
fail, as
as always,
always, to
to express
express the
the visit's
visit's raison
raison d'etre.
d'etre. Malcolm
Malcolm Evison
Evison 5
5 July
July 2005
2005 EMERGING
EMERGING and
and this
this morning
morning still
still abed
abed my
my legs
legs are
are mercury
mercury laden
laden knitted
knitted lead
lead the
the arms
arms folded
folded or
or stretched
stretched scream
scream out
out for
for postures
postures new
new Restless
Restless Night
Night frantic
frantic and
and static
static collude
collude to
to break
break the
the spirit
spirit -
- the
the chorussed
chorussed scream
scream of
of roll
roll and
and stretch
stretch weaves
weaves counterpoint
counterpoint against
against the
the searing
searing ache
ache of
of stasis
stasis -
- the
the chinese
chinese burn
burn of
of movement
movement resists
resists the
the planned
planned escape
escape Malcolm
Malcolm Evison
Evison 30/01/11
30/01/11 –
– 01/02/11
01/02/11 ON
ON REFLECTION
REFLECTION Sunshine
Sunshine on
on puddled
puddled rain
rain reflects
reflects the
the pride
pride of
of plants
plants refreshed
refreshed by
by elemental
elemental forces
forces it
it lifts
lifts my
my spirits
spirits I
I hope
hope they
they won't
won't evaporate
evaporate as
as I
I bask
bask calmly
calmly in
in the
the afterglow.
afterglow. Malcolm
Malcolm Evison
Evison 21
21 May
May 2009
2009 Flutter
Flutter By
By Moment
Moment it
it alights
alights softer
softer than
than a
a whisper
whisper on
on my
my sleeve
sleeve almost
almost as
as if
if it
it sought
sought me
me out
out I
I sit
sit relax
relax breathe
breathe in
in the
the gentle
gentle air
air -
- the
the butterfly
butterfly spreads
spreads out
out its
its wings
wings -
- this
this moment
moment I
I am
am at
at one
one with
with nature
nature sharing
sharing the
the fragility
fragility imagining
imagining a
a place
place where
where all
all could
could feel
feel secure
secure -
- wearing
wearing the
the butterfly
butterfly like
like a
a heart
heart on
on my
my sleeve
sleeve Malcolm
Malcolm Evison
Evison 17
17 July
July 2008
2008 RECLAMATION
RECLAMATION Just
Just another
another lightly
lightly throbbing
throbbing gritty
gritty grey
grey day
day a
a second
second chance
chance to
to modify
modify one’s
one’s outlook
outlook divert
divert one’s
one’s gaze
gaze away
away from
from the
the reality
reality -
- begin
begin to
to play
play the
the game
game of
of life
life regained.
regained. Malcolm
Malcolm Evison
Evison 29
29 January
January 2009
2009 SPLASH
SPLASH INTO
INTO SPRING
SPRING A
A sprinkling
sprinkling splash,
splash, a
a sudden
sudden flash
flash of
of ruddy
ruddy gold
gold -
- the
the first
first spring
spring stirrings.
stirrings. A
A long,
long, slow,
slow, turgid
turgid rest
rest supplanted
supplanted by
by these
these vital
vital chimes.
chimes. Today
Today they
they share
share the
the sunshine's
sunshine's joy
joy -
- and
and ripple
ripple wilfully.
wilfully. Last
Last seasons
seasons debris
debris stirred
stirred and
and shaken,
shaken, the
the fish
fish escape
escape their
their sedimentary
sedimentary rest,
rest, herald
herald the
the promise
promise of
of brighter
brighter days
days to
to come.
come. Like
Like me,
me, they
they must
must have
have felt
felt they'd
they'd plumbed
plumbed the
the depths
depths for
for far
far too
too long.
long. Malcolm
Malcolm Evison
Evison 14
14 March
March 2007
2007 RUDE
RUDE AWAKENING
AWAKENING The
The telephonic
telephonic shrill
shrill urgents
urgents me
me blearily
blearily into
into dawn.
dawn. Discomfited
Discomfited I
I roll
roll myself
myself across
across a
a seeming
seeming endless
endless counterpane,
counterpane, set
set foot
foot on
on an
an insecure
insecure floor,
floor, retrieve
retrieve the
the handset
handset and
and receive
receive a
a droning
droning earful.
earful. Bliss
Bliss was
was it
it in
in that
that dawn
dawn to
to be
be asleep,
asleep, to
to be
be awakened
awakened serves
serves to
to remind
remind oneself
oneself they’re
they’re far
far from
from heaven.
heaven. Malcolm
Malcolm Evison
Evison 4
4 August
August 2007
2007 A
A PALE
PALE REFLECTION
REFLECTION The
The shadows
shadows of
of the
the taller
taller trees
trees cast
cast silhouettes
silhouettes across
across the
the pool
pool -
- they
they overlay
overlay a
a pale
pale reflection
reflection of
of the
the more
more immediate
immediate scene.
scene. Sometimes
Sometimes I
I fail
fail to
to grasp
grasp immediate
immediate delights
delights allow
allow my
my darker
darker memories
memories to
to shield
shield me
me from
from the
the light.
light. Malcolm
Malcolm Evison
Evison 21
21 May
May 2009
2009 SHATTERED
SHATTERED he
he rails
rails exhaustedly
exhaustedly against
against the
the unrelenting
unrelenting night
night -
- shattered
shattered by
by restlessness
restlessness he
he groans
groans a
a welcome
welcome to
to a
a new
new daybreak
daybreak prays
prays that
that it's
it's not
not an
an uninvited
uninvited dream
dream -
- still
still rails
rails against
against the
the unrelenting
unrelenting night
night then
then collapses
collapses into
into sleep
sleep Malcolm
Malcolm Evison
Evison 10
10 September
September 2011
2011 just
just another
another day
day striving
striving to
to ignore
ignore the
the sundry
sundry aches
aches and
and pains
pains the
the flesh
flesh is
is heir
heir to
to I
I sit
sit and
and watch
watch the
the rains
rains incessant
incessant flow
flow –
– birds
birds flit
flit from
from shrubbery
shrubbery to
to feeders
feeders wallow
wallow in
in puddle
puddle baths
baths -
- I
I struggle
struggle with
with a
a vague
vague desire
desire to
to don
don a
a coat
coat wonder
wonder if
if I
I dare
dare venture
venture out
out to
to taste
taste the
the sodden
sodden air
air Malcolm
Malcolm Evison
Evison 19
19 April
April 2012
